~id,~from,~to,~label,score:Int
9c84219c-f54e-11ea-a3f0-a45e60e78b29,003A000001LNlwoIAD,003A000001qetQrIAI,knows,1
9c84223c-f54e-11ea-a3f0-a45e60e78b29,003A000001rkennIAA,003A000001gjQFAIA2,knows,None
9c8422dc-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVamIAH,003A000001hqSocIAE,knows,1
9c84237c-f54e-11ea-a3f0-a45e60e78b29,003A000001r5J22IAE,003A000001gJTNoIAO,knows,1
9c84241c-f54e-11ea-a3f0-a45e60e78b29,003A000001tNvJDIA0,003A000001vzKrrIAE,knows,1
9c8424bc-f54e-11ea-a3f0-a45e60e78b29,003A000001p3GyuIAE,003A000001Ed0pBIAR,knows,3
9c8425f2-f54e-11ea-a3f0-a45e60e78b29,003A000001xiIqAIAU,003A000001r65adIAA,knows,1
9c8426a6-f54e-11ea-a3f0-a45e60e78b29,003A000001ZycggIAB,003A000001dPXIgIAO,knows,1
9c842750-f54e-11ea-a3f0-a45e60e78b29,0032K00002OiYZUQA3,003A000001kmFOIIA2,knows,1
9c8427f0-f54e-11ea-a3f0-a45e60e78b29,003A000001w0vi0IAA,003A000001HJAYzIAP,knows,1
9c842890-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvegIAC,003A000001iDJL4IAO,knows,2
9c842930-f54e-11ea-a3f0-a45e60e78b29,003A0000025KQsVIAW,003A000001Ed0oiIAB,knows,2
9c8429d0-f54e-11ea-a3f0-a45e60e78b29,003A000001rjIP9IAM,003A000001kJSFeIAO,knows,1
9c842a70-f54e-11ea-a3f0-a45e60e78b29,003A000001sln2BIAQ,003A000001umY6tIAE,knows,None
9c842b1a-f54e-11ea-a3f0-a45e60e78b29,003A00000238W5ZIAU,003A000000yMvaXIAS,knows,2
9c842bba-f54e-11ea-a3f0-a45e60e78b29,003A000001QgMVTIA3,003A000001UQ8moIAD,knows,1
9c842c64-f54e-11ea-a3f0-a45e60e78b29,003A000001Ed0noIAB,003A000001f1V6PIAU,knows,1
9c842d04-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvbhIAC,003A000001kxkklIAA,knows,3
9c842da4-f54e-11ea-a3f0-a45e60e78b29,003A000001p6EpUIAU,0032K00002IBgcqQAD,knows,None
9c842e44-f54e-11ea-a3f0-a45e60e78b29,003A000001jKjLhIAK,003A000001qetAJIAY,knows,1
9c842ee4-f54e-11ea-a3f0-a45e60e78b29,003A000001ezr7XIAQ,003A0000020Gd1fIAC,knows,None
9c842f84-f54e-11ea-a3f0-a45e60e78b29,003A000001GqgxYIAR,003A000001GMab6IAD,knows,1
9c84302e-f54e-11ea-a3f0-a45e60e78b29,003A000001p6epmIAA,003A000001KDVVbIAP,knows,1
9c8430ce-f54e-11ea-a3f0-a45e60e78b29,003A000001AS10bIAD,003A0000010G9dBIAS,knows,2
9c84316e-f54e-11ea-a3f0-a45e60e78b29,003A000001iW7xgIAC,003A000001KwGVcIAN,knows,1
9c84320e-f54e-11ea-a3f0-a45e60e78b29,003A000001hCmmUIAS,003A000001Dz0ytIAB,knows,None
9c8432ae-f54e-11ea-a3f0-a45e60e78b29,003A000001hCjYJIA0,003A000001klqfVIAQ,knows,1
9c84334e-f54e-11ea-a3f0-a45e60e78b29,003A000001hG1rGIAS,003A000001sln2gIAA,knows,None
9c8433ee-f54e-11ea-a3f0-a45e60e78b29,003A000001iW7xgIAC,003A000001sNQ0QIAW,knows,1
9c84348e-f54e-11ea-a3f0-a45e60e78b29,003A000001dN0aTIAS,003A000001KDVRWIA5,knows,1
9c84352e-f54e-11ea-a3f0-a45e60e78b29,003A000001jepLLIAY,003A000001mCwmCIAS,knows,1
9c8435ce-f54e-11ea-a3f0-a45e60e78b29,003A000001ZNRdxIAH,003A000001w0wBYIAY,knows,2
9c84366e-f54e-11ea-a3f0-a45e60e78b29,003A000001lNMXWIA4,003A000001AS2P5IAL,knows,3
9c84370e-f54e-11ea-a3f0-a45e60e78b29,003A000001pjmxyIAA,0032K00002Du1KIQAZ,knows,None
9c8437ae-f54e-11ea-a3f0-a45e60e78b29,003A000001xhEDIIA2,003A000001o9Nj0IAE,knows,0
9c84384e-f54e-11ea-a3f0-a45e60e78b29,003A000001pkWDBIA2,003A000001zXZzrIAG,knows,None
9c8438f8-f54e-11ea-a3f0-a45e60e78b29,003A000001xRfvMIAS,003A000001slvTqIAI,knows,None
9c8439a2-f54e-11ea-a3f0-a45e60e78b29,003A000001t6l6rIAA,003A000001fZTH9IAO,knows,1
9c843a4c-f54e-11ea-a3f0-a45e60e78b29,003A000001slhoIIAQ,003A0000024l10EIAQ,knows,None
9c843aec-f54e-11ea-a3f0-a45e60e78b29,003A0000022zF0BIAU,003A000001lLjIhIAK,knows,1
9c843b8c-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVRrIAP,003A000001fXsjCIAS,knows,1
9c843eca-f54e-11ea-a3f0-a45e60e78b29,003A000001jf0IRIAY,003A000001ivSAgIAM,knows,1
9c844118-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvRmIAK,0032K00002DumDxQAJ,knows,None
9c844258-f54e-11ea-a3f0-a45e60e78b29,003A000001uCUQwIAO,003A000001ZOi3gIAD,knows,3
9c844636-f54e-11ea-a3f0-a45e60e78b29,003A000001Ed0lbIAB,003A0000017p5l6IAA,knows,1
9c844730-f54e-11ea-a3f0-a45e60e78b29,003A000001p5Um2IAE,003A0000020u3OLIAY,knows,2
9c8447e4-f54e-11ea-a3f0-a45e60e78b29,003A000001xgFBEIA2,003A000001VqSj9IAF,knows,1
9c844884-f54e-11ea-a3f0-a45e60e78b29,003A000001rhlzUIAQ,003A000001t3en6IAA,knows,1
9c84492e-f54e-11ea-a3f0-a45e60e78b29,003A000001tQiSpIAK,003A000001oa2JYIAY,knows,0
9c8449d8-f54e-11ea-a3f0-a45e60e78b29,003A000001yl7P4IAI,003A000000yMvd0IAC,knows,2
9c844a78-f54e-11ea-a3f0-a45e60e78b29,003A000001w0vi0IAA,003A000001yleqGIAQ,knows,1
9c844b22-f54e-11ea-a3f0-a45e60e78b29,003A0000020vuPNIAY,003A000001tNzlVIAS,knows,None
9c844bcc-f54e-11ea-a3f0-a45e60e78b29,003A000001gJJU8IAO,003A000001Bl5A5IAJ,knows,1
9c844c6c-f54e-11ea-a3f0-a45e60e78b29,003A0000025nqMjIAI,003A000001gSArIIAW,knows,1
9c844d0c-f54e-11ea-a3f0-a45e60e78b29,003A000001u3oMPIAY,003A000001A8kxaIAB,knows,1
9c844dac-f54e-11ea-a3f0-a45e60e78b29,003A000001CtGUxIAN,003A000001iXDdzIAG,knows,2
9c844e4c-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvfUIAS,003A000001lNa40IAC,knows,1
9c844eec-f54e-11ea-a3f0-a45e60e78b29,003A000001ZNMqZIAX,003A000001KDVSCIA5,knows,1
9c844f8c-f54e-11ea-a3f0-a45e60e78b29,003A000001zWg73IAC,003A000001OzYFgIAN,knows,3
9c84502c-f54e-11ea-a3f0-a45e60e78b29,0032K00002JHwSOQA1,003A000001fZTHYIA4,knows,1
9c8450cc-f54e-11ea-a3f0-a45e60e78b29,003A000001h0m0mIAA,003A000001vzAD7IAM,knows,None
9c84516c-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVRpIAP,003A0000021afp9IAA,knows,1
9c84520c-f54e-11ea-a3f0-a45e60e78b29,003A000001r5tOfIAI,003A000000yMvV4IAK,knows,2
9c8452b6-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVavIAH,003A0000021blQNIAY,knows,None
9c845356-f54e-11ea-a3f0-a45e60e78b29,003A0000021ao80IAA,003A000001slo1BIAQ,knows,None
9c8453f6-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvR3IAK,003A000001CJwyKIAT,knows,3
9c84548c-f54e-11ea-a3f0-a45e60e78b29,0032K00002En8f2QAB,003A000001wYMDMIA4,knows,None
9c845536-f54e-11ea-a3f0-a45e60e78b29,003A000001EdLswIAF,003A0000022VntuIAC,knows,1
9c8455d6-f54e-11ea-a3f0-a45e60e78b29,003A000001nh2txIAA,003A0000021ZsxQIAS,knows,None
9c845676-f54e-11ea-a3f0-a45e60e78b29,003A000001u3oMPIAY,003A000001slvTgIAI,knows,None
9c845716-f54e-11ea-a3f0-a45e60e78b29,003A000001xRgEcIAK,003A000001EbFrTIAV,knows,3
9c8457c0-f54e-11ea-a3f0-a45e60e78b29,003A000001dOsjCIAS,003A000001419qLIAQ,knows,None
9c845860-f54e-11ea-a3f0-a45e60e78b29,003A000001xgW7KIAU,003A0000027LmzRIAS,knows,None
9c845900-f54e-11ea-a3f0-a45e60e78b29,003A000001fIrDIIA0,003A000001h0ZXVIA2,knows,1
